2023-06-20 08:09:01 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:09:13 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:09:49 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:10:19 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:10:59 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:11:54 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:12:55 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:15:55 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:17:43 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 08:19:13 - Error reading input_1.xlsx  - ReferenceError: currentProductIds is not defined
2023-06-20 09:38:59 - Error reading input_1.xlsx  -  ReferenceError: i is not defined
2023-06-20 09:47:07 - Error reading input_1.xlsx  -  ReferenceError: i is not defined
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
2023-06-20 10:04:51 - Error in Collection Update: TypeError: read.readExcel(...).catch is not a function
